book_title,author,reader_review,rating,label,review_length
s adapter,clara dupont monod,un jour dans une famille est né un enfant inadapté avec cette première phrase le dernier roman de clara dupont monod s adapter débute comme un conte puis il se poursuit comme un conte avec les pierres rousses de la cour de cette maison nichée dans les cévennes ce sont elles qui vont témoigner sans jugement et faire le récit de la relation des trois autres enfants de la famille avec cet enfant différent car disent elles nous nous sommes attachées aux enfants et la force viendra d eux d une manière différente pour chacun,4.0,1,524
la grande course de flanagan,tom mcnab,ce qui est génial avec ce roman c est qu on a beau savoir que tout est fictif on le lit de a à z en étant persuadée que tout est vrai tellement tom mcnab nous embarque totalement dans son histoire s inspirant des courses transaméricaines de 1928 et 1929 organisées par charles c pyle pour promouvoir la route 66 qui venait d être construite il imagine en 1931 en pleine grande dépression la transamerica une course à pied épique reliant los angeles à new york 3 mois 5063 km 80km par jour à avaler plus de 2000 concurrents venus de plus de 60 pays dont 121 femmes un premier prix de 150 000,4.0,1,590
un dîner en bateau,akira yoshimura,dans ce recueil de dix nouvelles écrites dans le registre du shishosetsu genre littéraire japonais proche de l autofiction akira yoshimura entremêle présent et passé au fil des événements qui se croisent se reproduisent se répondent d une nouvelle à l autre akira le narrateur un écrivain connu à la vie modeste racole le présent au passé unissant le partage du moment dans l action l écoute et la contemplation aux souvenirs,4.0,1,425
la guerre d alan t3,guibert et cope,dans ce volume 3 de la guerre d alan alan cope se confie de plus en plus intimement à emmanuel guibert,5.0,1,102
en attendant bojangles,olivier bourdeaut,quand un livre suscite autant d enthousiasme et compte autant de lecteurs ou d avis publiés cela donne envie de se faire une idée par soi même histoire de ne pas mourir idiot comme on dit,4.0,1,187
l inondation,eugène zamiatine,recommandé chaudement par mh17 j ai eu le plaisir d écouter ce court récit d evgueni zamiatine sur france culture un régal le texte est non seulement narré par une femme qui a un timbre de voix et des intonations en totale osmose avec l esprit du texte mais il est accompagné d une musique de fonds parfaite donnant à la tension dramatique du récit encore plus de profondeur,5.0,1,374
la fille au revolver,amy stewart,dans ce livre j ai beaucoup aimé ce mélange de douce ironie de tendresse et de pétulance,5.0,1,88
em,thuy kim,en 1973 le photographe chick harrity émut l amérique avec une image prise pendant la guerre du viêt nam une toute petite fille endormie dans une boîte en carton donnant la main à son frère couché à ses côtés dans une rue de saigon ces deux orphelins ont inspiré à kim thuy les personnages de cette histoire em hong bébé abandonné recueilli par louis lui aussi enfant des rues de saigon évacués de la capitale au cours de l opération babylift qui en 1975 envoya aux etats unis trois mille enfants vietnamiens orphelins de guerre ou nés de gi s,4.0,1,542
les contreforts,guillaume sire,qu est ce qui n est pas impossible,4.5,1,34
tropique de la violence,nathacha appanah,waouh mais comment un livre aussi violent peut il être aussi poétique,4.0,1,69
le train des enfants,viola ardone,en 1946 amerigo huit ans vit misérablement avec sa mère antonietta dans un des quartiers les plus populaires de naples sur une initiative du parti communiste et comme des milliers d autres enfants du sud de l italie il est envoyé pour quelques mois dans une famille du nord de la péninsule où il découvre un tout autre mode de vie plein d appréciables avantages malgré la séparation et le dépaysement après une telle expérience le garçon se retrouve d autant plus déchiré entre son amour pour sa mère et son attachement à sa famille d adoption qu il vient soudain d entrevoir à modène un avenir bien différent de celui qui l attend à naples,3.5,0,640
robert e lee,vincent bernard,le cimetière national américain d arlington en virginie où reposent notamment les kennedy a été créé durant la guerre de sécession sur la plantation de george washington custis le fils adoptif de george washington dont la fille unique mary ann randolph hérita à sa mort en 1857 mary ann avait épousé en 1831 le lieutenant robert e lee futur général en chef des armées des états confédérés,4.0,1,388
oliva denaro,viola ardone,tout n est que sujet de douleur pour elle la lumière du matin qui entre à travers les persiennes mis clos le corps de mon père qui ronfle allongé à côté d elle ma maigreur informe le travail aux champs la sécheresse,4.5,1,215
l interdépendance tome 3 la dernière emperox,scalzi john,troisième et dernier tome de l interdépendance oui vous avez bien lu une trilogie en trois tomes c est tellement rare de nos jours tiens si d ici l année prochaine un tome 4 faisait son apparition l organisation du bout par exemple cela ne m étonnerait qu à moitié,4.0,1,264
les aventures d un sous locataire,iouri bouïda,boire ou écrire autant ne pas choisir,4.0,1,37
le clan des otori tome 1 le silence du rossignol bd,stéphane melchior,la première chose qui m a plu dans cet album qui se déroule dans un japon féodal imaginaire de la seconde moitié du xvie siècle époque des provinces en guerre est la couverture magnifique aux dessins et couleurs splendides,4.0,1,222
jacqueline jacqueline,jean claude grumberg,après avoir adoré l ouvrage bouleversant qu il a publié sous forme de conte en 2019 et avoir été charmé par l homme lors de son dernier passage à la grande librairie il y a quelques semaines je me suis attaqué à son jacqueline jacqueline titre rendant hommage à sa femme jacqueline décédée le 4 mai 2019 au moment où je me joignais aux louanges concernant la plus précieuse des marchandises,3.5,0,390
revenir fils,christophe perruchas,orphelin de père le narrateur âgé de quatorze ans grandit tant bien que mal auprès d une mère de plus en plus inaccessible réfugiée dans un monde où revit son premier né que la mort subite du nourrisson a emporté elle présente des signes croissants du syndrome de diogène et accumule maladivement les objets deux décennies plus tard devenu père à son tour après avoir été finalement élevé par son oncle et sa tante le fils tente désespérément d établir le contact avec sa mère désormais terrée dans une maison débordante d immondices,5.0,1,533
enfant de salaud,sorj chalandon,alors qu il arpente les couloirs de la maison d izieu là où le 7 avril 1944 44 enfants et 7 adultes juifs furent arrêtés puis déportés suite à une dénonciation sorj chalandon s interroge quant à lui sur le rôle de son père pendant la guerre pourquoi est il devenu un traître qu est ce qui a bien pu le pousser à rejoindre le camp ennemi aujourd hui la terrible phrase de son grand père prononcée en 1962 alors que le petit sorj n avait que 10 ans le hante encore ton père pendant la guerre il était du mauvais côté si enfant il ne comprenait pas le sens de ces paroles en ces jours historiques où se déroule le procès de klaus barbie qu il couvre en tant que journaliste sorj chalandon replonge dans le passé de son père ses mensonges ses faits et ses méfaits d armes,4.5,1,767
fractures,franck thilliez,du mystère du mystère du mystère et des questions voilà ce qui m est venu à l esprit dès le début et pour un long très long moment,5.0,1,130
femmes en colère,mathieu menegaux,palais de justice de rennes 25 juin 2020 après quatre journées de débats animés clément largeron le président de la cour d assises de rennes met un terme aux débats chaque partie a défendu autant que faire se peut ses clients du côté des parties civiles les deux avocates sont confiantes en ce qui concerne la culpabilité de mathilde collignon d autant qu elles sont presque sûres que le président et ses deux assesseurs feront pencher la balance en faveur de la culpabilité ce qui suppose alors que seuls trois jurés votent aussi pour une formalité selon elle si l avocat général a requis une peine exemplaire soit vingt ans elles en espèrent quinze me delannoy l avocat de mathilde déplore quant à lui le fait que sa cliente n ait pas au terme de sa déclaration exprimé des regrets dans la salle de délibération où prennent place le président ses deux assesseurs et les six jurés chacun devra voter en son âme et conscience mathilde collignon s est elle rendue coupable d actes de torture et de barbarie,4.0,1,1005
sable bleu,yves grevet,c est vrai je ne suis pas le public ciblé puisque ce livre s adresse aux adolescent e s je dirais aux 15 16 ans reçu dans le cadre de la masse critique jeunesse je m étais promis de le lire en essayant de me mettre à la place d une adolescente ce qui n est pas chose aisée j en conviens vu que cette période de ma vie est relativement loin je l avais choisi pour son thème à savoir une utopie écologique très curieuse de la façon dont cet auteur yves grevet s adresse à ce public pour partager ces préoccupations en la matière,2.0,-1,526
chambres noires,karine giebel,je ne lis pas de nouvelles c est un genre tellement difficile qu en dehors des maîtres poe et maupassant que j adore peu d auteurs trouvent grâce à mes yeux ne croyez pas que je sois prétentieux en affirmant cela mais non vraiment ce n est pas mon truc c est tout comme dirait l autre va comprendre ben justement c est si peu important qu on ne va pas se torturer l esprit avec ce détail,4.0,1,387
le cycle de fondation tome 2 fondation et empire,isaac asimov,si je vous dis le mulet à quoi pensez vous immédiatement,5.0,1,56
le bureau des affaires occultes,éric fouassier,un bon polar avec un cadre historique précis ici sous la restauration qui nous permettra de nous instruire en cours de lecture sur cette partie de notre histoire ce qui est un aspect que j apprécie dans ce type de roman,4.0,1,219
nous,evgueni zamiatine,voilà un chef d oeuvre un livre magnifiquement écrit aux images saisissantes une oeuvre engagée militante qui a valu à son auteur exil et censure de la science fiction écrite par un russe evguéni zamiatine en 1920 précurseur et influenceur d un orwell et de son 1984 rien que ça une des premières dystopies jamais écrite ayant pour colonne vertébrale l amour et pour objet la dénonciation du communisme un roman violemment hérétique epoustouflée par son audace et sa plume je suis quelle claque ce livre raconte l histoire d une tentative celle de faire exploser un etat totalitaire,5.0,1,582
l incroyable histoire du coq qui ne voulait pas fermer son bec,thomas gerbeaux,le coq est roi sur son fumier,4.5,1,29
saint jacques,bénédicte belpois,paloma ne sait rien de son père et de sa mère n a jamais connu que le rejet initié dans un déni de grossesse aussi grande est sa surprise lorsqu à son décès cette mère lui laisse en héritage une maison délabrée dans les cévennes et un cahier dévoilant le secret de sa naissance incapable de se séparer de la bâtisse elle s y installe et se lance dans sa restauration nouant bientôt des liens avec quelques habitants du cru comme jacques un entrepreneur local et rose une vieille voisine qui vit seule,4.0,1,500
tibet minéral animal,vincent munier,après la panthère des neiges très beau récit de sylvain tesson il manquait les images vincent munier les livre aux passionnés de cette belle nature tibétaine de ses animaux et bien sûr des bharals et sylvain tesson complète ces superbes images avec ses poèmes pleins de belles références issues notamment d epicure ou d héraclite,5.0,1,329
mourir au monde,claire conruyt,axelle en religion soeur anne souffre à 40 ans d une nuit de la foi accentuée par la mort de son père qui lui a rappelé que sa vocation et son entrée dans les ordres ont été incompris dans sa famille restée durablement traumatisée,5.0,1,230
alex,pierre lemaitre,epoustouflant addictif incontournable,5.0,1,37
ciaphas cain tome 4 la mort ou la gloire,sandy mitchell,jubilatoire,4.5,1,11
vas y maman,nicole de buron,fée du logis n a pas de fée blesse,5.0,1,34
un jour glacé en enfer,anne b ragde,roman de grand froid froid de l hiver norvégien et de chaleur chaleur animale chaleur sexuelle il manque la chaleur du coeur dont l héroïne est en quête,4.0,1,152
l hôtel du cygne,zhang yueran,yu ling est venue de son lointain sishuan pour se mettre au service de riches pékinois mais alors que son travail de nounou auprès de dada le fils unique de la famille commence à la lasser et qu elle envisage avec son petit ami de kidnapper l enfant contre rançon ses employeurs sont arrêtés pour corruption commence alors pour la jeune femme et dada une vie hors du temps où libérés des contraintes ces deux êtres découvrent l un avec l autre la tendresse qui leur a manqué l hôtel du cygne une tente dressée dans l immense salon familial par dada pour accueillir ceux qui comme lui n ont pas d amis participant à l éclosion de cet amour aussi inattendu qu essentiel,4.0,1,667
vallées secrètes,bernard minier,ayant lu cette année mon premier roman de bernard minier la chasse que j avais bien aimé j ai eu très envie de pénétrer dans ces vallées secrètes pyrénéennes constituées pour la majeure partie d entretiens avec fabrice lardeau suivis de différents extraits de lectures montagnardes choisis par bernard minier,4.0,1,308
la belle histoire des maths,michel rousselet,ce beau livre impressionne au premier abord par son poids une couverture épaisse et un beau papier glacé qui pour un peu feraient s acoquiner la tête et les muscles deux pages de lecture trois flexions de biceps entretien du corps et de l esprit,4.0,1,245
les ombres filantes,christian guay poliquin,des jours qu il marche dans la forêt seul un sac sur le dos avec le strict nécessaire aux aguets toujours aussi bien des animaux qu il peut croiser que des hommes des mois que la panne d électricité a figé le monde les gens ont déserté les villes dorénavant pillées lui veut rejoindre sa famille oncles tantes cousins qui se sont réfugiés dans leur camp en s enfonçant dans la forêt de plus en plus dense et vorace où les sentiers se font rares il croise par hasard un jeune garçon une dizaine d années les cheveux en broussaille la peau tannée un petit sac en bandoulière visiblement seul restant évasif sur les questions qu il lui pose il lui propose de le suivre en attendant de l aider à retrouver ses parents,4.5,1,713
ce qu il nous faut de remords et d espérance,céline lapertot,fait du hasard me voici plongé dans un roman concernant le difficile sujet de la peine de mort tout juste après avoir tourné la dernière page du difficile et éprouvant sept jours du talion pas forcément la meilleure façon de préparer des fêtes de fin d année auxquelles on attribue souvent le qualificatif de joyeuses mais bon quand le vin est tiré il faut bien le boire,4.0,1,370
orfan tome 1 le secret du bracelet,tertrais gaelle,voici un nouveau chef d oeuvre de la littérature jeunesse,5.0,1,57
poèmes du monde entier anthologie des poètes du monde entier de homère à nos jours,maury p,qui es tu lecteur toi qui dans cent ans liras mes vers rabindranath tagore,3.0,0,74
la malouine tome 2 le lys et le chardon,danielle delouche,quel roman épique retraçant les aventures de marie malouine,4.5,1,59
libres dans leur tête,stéphanie castillo soler,seul le corps peut aller en prison l esprit ne peut être prisonnier on ne peut pas attraper le vent,5.0,1,99
la pub est déclarée 1914 1918,didier daeninckx,on pourrait raconter l histoire de france par la publicité dans la pub est déclarée les nombreuses illustrations choisies témoignent de la manière dont la réclame intègre dès 1914 le premier conflit mondial pour vendre aux soldats à leurs familles encourager l achat patriotique souscrire aux emprunts nationaux fustiger l ennemi et à la fin de la guerre amadouer le chaland avec les silhouettes d héroïques poilus,4.0,1,414
un dimanche à ville d avray,dominique barbéris,après une enfance étriquée et morose dont elles s évadaient par de grandes rêveries romanesques inspirées de jane eyre deux sœurs l une parisienne l autre habitant ville d avray mènent désormais une vie rangée sans éclat ni surprise entre mari et enfant un dimanche d ennui l aînée et narratrice rend visite à sa cadette au cours de leur tête à tête au jardin le soir tombant elle recueille avec stupéfaction les confidences de sa sœur sur ses envies vagues et réprimées d autre chose qui l ont un jour conduite à une rencontre inattendue à quelques rendez vous secrets et à l éternel regret d un possible finalement repoussé,4.0,1,625
la porte du voyage sans retour,david diop,dans ce roman fascinant david diop a su mêler avec talent le romanesque à l histoire du botaniste et naturaliste français michel adanson,4.5,1,136
le choix de sophie,william styron,un livre dont le titre a donné naissance à une expression qui traverse le temps est il forcément un grand livre j aime poser ce genre de grande question qui est pourtant le plus souvent inutile car même si la règle s imposait elle comporterait forcément des exceptions qui la confirmeraient,5.0,1,290
tours et détours de la vilaine fille,mario vargas llosa,me permettez vous de vous parler de l histoire d une femme elle m a tour à tour envoûté agacé puis de nouveau envoûté puis mais au final elle m a touché ne me demandez pas comment elle s appelle elle a changé tant de fois d identités et même de nationalités ce n est pas étonnant que l auteur parle alors de tours et détours est ce que cela en fait pour autant une vilaine fille d ailleurs c est le narrateur qui la surnomme ainsi,5.0,1,430
basilico,giulio macaione,elle qui avait toujours rêvé d écrire un livre de recettes accumulant des notes au fil des ans la grande faucheuse ne lui aura pas laissé suffisamment de temps aujourd hui toute sa famille est réunie autour d elle dix ans que cela n était pas arrivé trop occupée pour l honorer d un déjeuner dominical dans son cercueil maria nous présente ses cinq enfants l aîné giovanni un peu trop gentil et sa femme anna qu il n a jamais eu le courage de quitter agata une artiste ratée qui n a jamais réussi à vendre ses toiles diego maria un homosexuel qui ne se lie qu avec des hommes riches rosalia une belle femme posée une infirmière qui a épousé un chirurgien son enfant préférée et enfin santo arrivé sur le tard qui fait des études de journalisme et voyage beaucoup maria dont le mari est décédé il y a maintenant plus de 20 ans a élevé seule ses enfants et pense hormis quelques exceptions avoir fait du bon travail son enterrement sera l occasion pour elle de faire remonter certains souvenirs certains secrets aussi qu elle aurait préféré taire,4.0,1,1044
la belle histoire des cathédrales,alain billard,salomon s adressant à dieu tu m as ordonné de construire le temple en ton très saint nom ainsi qu un autel dans la cité où tu habites d après le modèle de la tente très sainte que tu avais préparée dès le commencement sagesse ix 8,5.0,1,230
les désenchantées,pierre loti,immersion au coeur de stamboul au début du vingtième siècle alors que des petits fantômes noirs tentent de franchir les barrières qui les condamnent à la réclusion dans des prisons dorées,4.0,1,187
siddhartha,hermann hesse,il est toujours difficile de s attaquer à un monument de la littérature classique surtout lorsqu on a repoussé cette lecture de manière inconsciente car on sentait qu il y avait un bon moment pour le faire,4.0,1,205
le dernier grenadier du monde,ali bakhtiar,bakhtiar ali est né à sulaimaniya dans le kurdistan irakien tout comme un jeune homme mort de froid et de faim à la frontière biélorusse le 8 novembre 2021 bakhtiar ali vient du kurdistan irakien comme la jeune femme morte noyée dans la manche le 24 novembre 2021 à l âge de 24 ans comme la plupart des familles privées de leurs biens y compris de leurs chaussures chaudes et leurs couvertures par les autorités biélorusses qui les obligent à se jeter hommes femmes enfants contre les barbelés que la police polonaise dézingue à coups de gaz lacrymogènes et de canons à eau qui conduiront les gens mouillés à geler sur pied comme tant d autres morts sur le chemin de faim d épuisement de froid engloutis par les flots ou empoisonnés aujourd hui une partie du kurdistan est sous le feu des armes chimiques utilisées par l armée turque l état turc a lancé l invasion du rojava dont il hait le projet démocratique écologique et féministe en syrie du sinjar en irak et de toutes les zones administrées directement par des kurdes ou leurs alliés,5.0,1,1040
l auberge de la jamaïque,daphne du maurier,dé vo ré impossible de lâcher ce livre repas retardé ce midi pour me laisser finir mes ultimes pages,5.0,1,100
retrouve moi,lisa gardner,dans ce roman lisa gardner nous entraîne dans une nouvelle enquête menée par dd et par une ancienne victime flora,4.0,1,113
le droit d emmerder dieu,richard malka,comme ça paraît bien loin les effroyables attentats du 7 janvier 2015 contre le journal satirique charlie hebdo et l hyper cacher de la porte de vincennes comme elle paraît loin la gigantesque vague d émotion qui a suivi cette tuerie toutes ces marches républicaines à travers le territoire le je suis charlie qui fleurissait un peu partout dans nos villes,5.0,1,356
souvenirs d enfance tome 2 le château de ma mère,marcel pagnol,je pense que je me souviendrai à jamais de l incipit de ce merveilleux roman de marcel pagnol second tome de la trilogie de ses souvenirs d enfance,5.0,1,147
la route,cormac mccarthy,angoissant,5.0,1,10
la maison dans laquelle,mariam petrosyan,fas ci nant il y a des romans qui vous habitent et puis il y a ceux que vous devez vous même habiter investir totalement pour les appréhender les faire vôtres vous y sentir comme chez vous et prendre plaisir à explorer leurs moindres recoins clairement la maison dans laquelle vous vous apprêtez à pénétrer est de ceux là elle héberge déjà un certain nombre de jeunes pensionnaires éclopés et de personnel d encadrement mais de ces derniers nous parlerons peu tellement l exploration de l enfance nous occupera tout entiers et désormais la maison vous a vous aussi lecteur voyeur explorateur de l imaginaire sans bornes d une enfance abimée bousculée à reconstruire sur des ruines des exemples des mythes,5.0,1,704
un p tit gars de géorgie,erskine caldwell,j avais bien apprécié ce caldwell erskine là ces histoires changeaient de la veine triste de nous les vivants la route au tabac ou une lampe le soir,4.5,1,148
les nuits d amour sont transparentes pendant la nuit des rois,denis podalydès,ce fut une rupture une modification dans ma mémoire et dans mon goût du théâtre hedda gabler d henrik ibsen aux gémeaux9 le premier spectacle que j ai pu voir d ostermeier mon souvenir est très net rarement la pièce m était apparue aussi claire et profonde paroles de denis podalydès dont je partage la dernière phrase même ressenti à la fin du spectacle de john gabriel borkman d henrik ibsen le premier que j ai pu voir de thomas ostermeier en avril 2009 au théâtre de l odeon à paris etant une fervente admiratrice du théâtre de peter brook et d eimuntas nekrosius metteur en scène lituanien vénéré en italie malheureusement décédé là j avais devant moi un autre génie du même calibre du travail très humain très profond d une clarté incroyable qui approche le spectateur au plus près du dramaturge et de son oeuvre podalydès étant aussi un acteur de théâtre et de cinéma que j apprécie énormément vu le sujet de son dernier livre où il parle justement de son admiration pour ostermeier et l expérience des répétitions de la nuits des rois du grand william où il le dirigea dans le rôle d orsino je ne pouvais pas passer à côté,4.0,1,1130
une journée d ivan denissovitch,alexandre soljenitsyne,considéré comme espion parce qu il a été prisonnier des allemands en 1941 et qu il est parvenu à s échapper ivan denissowitch a été envoyé au goulag purger une peine de dix ans c était le tarif à l époque mais maintenant c est vingt cinq ans pour tout le monde pour tous les actes,3.5,0,280
le livre des géants,henry wysham lanier,alors qu au fil du temps les géants sont passés de statut de grands dieux à celui d êtres difformes exposés dans les foires dans la littérature et l imaginaire collectif le géant devenait le faire valoir grand fort et bête du petit évidemment beaucoup plus malin un changement que l universitaire américain henri wysham lanier analyse ici avec méthode et précision abordant l histoire fascinante des géants à travers des exemples documentés issus des mythes antiques des romans de chevalerie et des contes de fée pour finir avec l histoire les géants modernes,4.5,1,559
la triste fin du petit enfant huître et autres histoires,tim burton,quel joli et intriguant petit volume que celui de ces portraits écrits et illustrés par tim burton,4.5,1,98
les jours les mois les années,lianke yan,quand on est vieux on vit seulement pour un arbre un brin d herbe des petits enfants c est toujours mieux de vivre que d être mort,5.0,1,130
une chaumière et un meurtre,fred kassak,décidément il s en passe des choses pour les employés de la société france air pur qui était déjà au coeur de l intrigue du roman carambolages agnès devillard par exemple secrétaire trentenaire célibataire deux chats fille unique d un charpentier de marine à la retraite quand elle rencontre lionel fribourg égyptologue quinquagénaire veuf et amoureux du silence elle ne se doute pas que sa vie va être bouleversée,4.0,1,414
arctique un monde à protéger,pierre vernay,très beau livre sur l arctique dans lequel les photographies artistiques de pierre vernay offrent des visions somptueuses de ce monde à protéger elles sont présentées accompagnées de courts commentaires riches d informations sur tout ce qu ont saisi les objectifs de l auteur,4.0,1,275
disparaître,mathieu menegaux,je connaissais bien entendu l auteur mathieu menegaux de nom et de réputation mais je n avais jamais parcouru l un de ses livres c est enfin chose faite et cette immersion ne sera sans aucun doute pas la dernière tellement j ai dévoré ce livre disparaître,5.0,1,255
le parfum,patrick süskind,voici un livre dont à l issue de la lecture je suis incapable de répondre sincèrement à la question est ce que je l ai aimé oui je le reconnais cette lecture me laisse un sentiment mitigé car j ai vraiment été en proie à des sentiments contradictoires,3.5,0,251
la plus secrète mémoire des hommes,mohamed mbougar sarr,un pur exercice de style voici ce à quoi se résume pour moi la plus secrète mémoire des hommes,3.5,0,94
l etranger bd,jacques ferrandez,l étranger d albert camus en bande dessinée il fallait le faire,5.0,1,63
la boucherie des amants,gaetano bolan,la boucherie des amants c est une histoire d amour et de bonheur,4.5,1,64
la famille de pascal duarte,camilo josé cela,atavisme et hérédité fatalité et circonstances pascal duarte jette ses horrifiques et poignantes mémoires sur une liasse de feuillets en tentant de démêler de comprendre et de faire comprendre,4.0,1,192
celle qui brûle,paula hawkins,il y a celle qui brûle et celle qui s est couchée très très très tard pour finir celle qui brûle et savoir si les brûlures étaient graves ou pas,4.5,1,144
vivre avec nos morts,delphine horvilleur,parler de la mort c est aussi parler de la vie j avoue l avoir oublié quand j ai reculé devant le thème de vivre avec nos morts un sujet dans lequel je n avais pas envie d entrer erreur réparée grâce à une amie qui m a prêté le livre,5.0,1,233
souvenirs d enfance 1 la gloire de mon père,pagnol marcel,s agissant de la littérature provençale je serais plutôt plus proche aujourd hui de celle de jean giono que de celle de marcel pagnol les deux hommes de la même génération se sont d ailleurs connus et n étaient pas franchement des amis même s ils ont parfois collaboré sur certaines productions je ne sais pas trop ce qui les opposait selon rené frégni avec lequel j avais abordé ce sujet il expliquait que cela tenait aux territoires respectifs qui rattachaient chacun des écrivains marcel pagnol plus au sud du côté d aubagne et de marseille et jean giono plus au nord du côté de manosque des terres peut être plus hostiles que celles inondées par le soleil marseillais,4.5,1,671
fille a,abigail dean,la narratrice de ce récit alexandra surnommée lex gracie est l aînée d une famille où les 7 enfants ont été maltraités par leurs parents surtout le père qui s est suicidé juste avant l arrivée des autorités,3.5,0,206
jeux de ficelle,nina vincent,les enfants aiment toujours autant jouer avec des ficelles ils peuvent même y passer beaucoup de temps ce livre pourrait leur fournir de belles idées,2.5,-1,149
le soleil se lève aussi,ernest hemingway,on savait déjà que paris est une fête mais tenez vous bien hemingway is back pour rajouter que le soleil se lève aussi à pampelune si señor,3.5,0,139
quand les poulets ont des dents,mc givern,je trouve la traduction française du titre du roman rogue cop flic voyou assez fantaisiste et de nature à décourager des lecteurs peu ou pas familier avec les romans policiers tout noirs américains d après guerre un genre dans lequel l auteur a excellé,3.5,0,252
blonde,joyce carol oates,c est un monument qu a écrit mme oates pesant à l instar de cette femme dont la courte vie fut un roman,5.0,1,103
l improbable voyage d audrey mercier tome 1 respire beauté,sandra verilli,ouvrage reçu dans le cadre d une opération masse critique privilégiée je tiens tout d abord à remercier babelio ainsi que les éditions kennes pour l envoi de cet ouvrage d autant plus que sur les cinq reçus et terminant ainsi ma lecture du quatrième celui ci est celui que je préfère,4.0,1,283
les sept jours du talion,patrick senécal,noir c est noir,3.5,0,15
la religieuse,denis diderot,je me suis jeté avec dévotion et gourmandise vers la religieuse que voici en tout bien tout honneur bien entendu étant agnostique c est avec une distance vis à vis du fait religieux que je suis venu vers ce roman dont j entendais parler depuis des lustres avec néanmoins une curiosité sans entrave,5.0,1,297
grisha tome 1 les orphelins du royaume,leigh bardugo,well well well j ai enfin commencé la trilogie grisha,4.0,1,53
trilogie new yorkaise tome 3 la chambre dérobée,paul auster,je viens de finir la troisième partie de cette trilogie new yorkaise ce dernier roman paraît moins nébuleux et plus accessible que les deux premiers la cité de verre et revenants,4.0,1,178
fables de la fontaine,marc boutavant,certains diront sans doute encore un recueil de fables de la fontaine illustrées pour les enfants eh bien oui et alors on ne s en lasse pas,5.0,1,139
